DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.ts'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?svelte&type=style&lang.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906864246'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906864269'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696906864246'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696906864269'
DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.ts'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906864269'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?svelte&type=style&lang.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696906864246'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696906864269'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906927893'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906927896'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696906927893'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696906927896'
DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.ts'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906927896'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696906927896'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696906927893'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?svelte&type=style&lang.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906953173'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906953175'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696906953173'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696906953175'
DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.ts'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696906953175'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696906953173'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696906953175'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?svelte&type=style&lang.css'
DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.ts'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?svelte&type=style&lang.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696907093696'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696907093718'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696907093696'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696907093718'
DEBUG | [DevWebServer] Serving DevServer at http://localhost:34115
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/main.ts'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/@vite/client'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/node_modules/vite/dist/client/env.mjs'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/assets/fonts/nunito-v16-latin-regular.woff2'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/style.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696907093718'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696907093696'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696907093718'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?svelte&type=style&lang.css'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696907147438'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/src/App.svelte?t=1696907147441'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/go/parser/App.js?t=1696907147438'
DEBUG | [ExternalAssetHandler] Loading 'http://localhost:5173/wailsjs/runtime/runtime.js?t=1696907147441'
